,name_with_stand,delta_attack_angle,delta_attack_direction,delta_swing_path_tilt,delta_attack_angle_pct
0,Aaron JudgeR,118.24004230463858,239.4790068405951,-16.540289599032377,75.0
1,Adley RutschmanL,114.17205044893107,334.7953265067303,15.5584376659465,72.97297297297297
2,Adley RutschmanR,130.1573006878653,260.90082900998493,8.683245049186446,83.1081081081081
3,Adolis GarciaR,76.33745125077476,442.1328487367205,10.942556957692556,27.027027027027028
4,Alec BohmR,72.54289744423421,274.0466949178316,2.646094782090625,21.62162162162162
5,Alec BurlesonL,106.99252966931249,418.47001994017404,24.386303179353447,62.83783783783784
6,Alex BregmanR,55.19383162901386,335.4528762957782,12.063391766074883,8.108108108108109
7,Alex VerdugoL,86.92960532108869,254.13490274787839,28.462789035076664,37.16216216216216
8,Andres GimenezL,106.91326073481633,401.3555890371962,8.111990487858534,62.16216216216216
9,Andrew BenintendiL,110.25389253960788,248.2076484163557,18.102056849041723,69.5945945945946
10,Andrew McCutchenR,88.74041988196504,373.506799275447,-1.244302333532545,39.189189189189186
11,Andrew VaughnR,95.51008040018749,456.37916216597324,18.745270829939585,50.67567567567568
12,Anthony SantanderL,102.36645552281303,444.66366866851877,47.7076396839717,56.75675675675676
13,Anthony SantanderR,75.71365086923986,388.7976689516781,22.73028852924656,25.675675675675674
14,Anthony VolpeR,74.70457594609664,336.1747982346552,-0.14762809369828034,23.64864864864865
15,Bobby Witt Jr.R,76.45424671878305,288.5610106528494,32.56702283590724,28.37837837837838
16,Brandon NimmoL,84.33452913796691,455.5565482874161,10.021645578126261,35.810810810810814
17,Brendan DonovanL,105.25973022332103,359.2009265806569,11.231270173545724,60.810810810810814
18,Brendan RodgersR,98.52038399157338,349.49290086494733,0.022644925820760164,53.37837837837838
19,Brent RookerR,146.04314343025638,375.82010495822533,4.347755545096831,90.54054054054053
20,Brenton DoyleR,53.267882974073814,312.8378307436694,-7.8207655942361995,6.081081081081082
21,Brice TurangL,126.9764293355407,329.7165508947851,18.188608682898906,81.75675675675676
22,Bryan De La CruzR,110.2518254523962,268.5797545032496,0.8148787059278177,68.91891891891892
23,Bryan ReynoldsL,136.88459230884894,339.26490485515455,-14.089369809929611,87.16216216216216
24,Bryan ReynoldsR,128.83397723624626,442.5018114270973,2.3085817869040994,82.43243243243244
25,Bryce HarperL,123.54726066048343,323.98506948318595,-5.664305855693726,79.05405405405406
26,Bryson StottL,75.97339367279923,318.10201404384867,10.005509880118112,26.351351351351347
27,CJ AbramsL,83.88526768931415,342.5410129513161,14.464122459054138,35.13513513513514
28,Cal RaleighL,103.49096227941494,374.55677121744134,25.956339262877194,59.45945945945946
29,Cal RaleighR,77.07539703989605,462.6580630294988,10.373069597323568,29.054054054054053
30,Carlos SantanaL,65.47400427016868,281.30044770967817,16.881666564787757,15.54054054054054
31,Carlos SantanaR,55.51683232651456,356.5507912406928,14.929907544209446,8.783783783783784
32,Ceddanne RafaelaR,72.60094742720243,358.81771445606677,6.541276391849969,22.2972972972973
33,Cedric MullinsL,82.36855453272194,354.31874763797055,18.627933202848084,32.432432432432435
34,Christian WalkerR,102.6516390707736,376.67881687642745,10.550458875742446,58.108108108108105
35,Christopher MorelR,30.979528016102837,317.30631926885434,-5.688862065272566,0.6756756756756757
36,Cody BellingerL,71.75760809115529,244.80982648090796,23.558910993664554,20.27027027027027
37,Colt KeithL,126.25293314866181,286.90153829589286,12.025015696929046,80.4054054054054
38,Colton CowserL,147.9610034902926,285.2785703926299,-6.177731341489434,91.8918918918919
39,Corbin CarrollL,47.19798006401838,340.7469988005691,30.47059756353534,2.7027027027027026
40,Corey SeagerL,108.73483175814606,349.7939563021125,-9.134776907861848,65.54054054054053
41,Dansby SwansonR,68.38238992247432,253.95305237530619,-9.216448846097943,18.243243243243242
42,Daulton VarshoL,109.34789410855805,307.3225841285258,18.7812717732429,66.8918918918919
43,Elly De La CruzL,74.81649654067698,297.49391389714395,1.7269299455318716,24.324324324324326
44,Elly De La CruzR,99.83934947167548,356.64314285883773,9.550876200468181,54.729729729729726
45,Eugenio SuarezR,89.96630334783606,338.05079365307034,-17.850474702599342,41.891891891891895
46,Ezequiel TovarR,131.28618588128677,353.01294015720583,13.778146079373002,83.78378378378379
47,Francisco LindorL,93.46682088622629,341.04235596830375,-3.1421751776532076,47.2972972972973
48,Francisco LindorR,78.2213146509271,316.9378577959854,16.70533507334941,30.405405405405407
49,Freddie FreemanL,177.74998861629817,280.6825055812679,2.2955284625923866,100.0
50,Gavin LuxL,109.77487565881316,304.56869422412507,-5.448763501564294,68.24324324324324
51,George SpringerR,110.99678931322427,338.85689540750604,-4.31997356590777,70.27027027027027
52,Giancarlo StantonR,55.08336019996972,389.20200315428644,8.704278287862032,7.4324324324324325
53,Gleyber TorresR,93.61137146768182,284.74973413773284,-10.154004088435126,48.64864864864865
54,Gunnar HendersonL,113.45042709581085,441.98665477178685,0.9046289887351584,71.62162162162163
55,Heliot RamosR,115.25671158498398,352.8626174149504,-1.5115275113741262,73.64864864864865
56,Ian HappL,131.46829062722622,376.11261555310796,1.0402066712394245,84.45945945945947
57,Ian HappR,153.90533476573827,570.1222908377665,6.464550230156174,93.91891891891892
58,Isaac ParedesR,98.01902444858705,407.69001501758237,8.978610023645135,52.702702702702695
59,J.D. MartinezR,139.37292070159268,286.5816350253546,-4.776207033912549,87.83783783783784
60,JJ BledayL,92.14530742662149,301.6427564291686,13.112883621307866,45.27027027027027
61,Jackson ChourioR,55.885277046415695,326.1870645190177,7.088413115226345,9.45945945945946
62,Jackson MerrillL,119.03850825753466,337.8148560893555,21.362706938271195,76.35135135135135
63,Jacob YoungR,92.90566671757071,316.2315434684927,-1.6268201445523047,46.62162162162162
64,Jake BurgerR,70.130463781225,394.70090885871844,21.161256894085124,18.91891891891892
65,Jake CronenworthL,170.59859031169924,328.981521512983,16.417472577376046,99.32432432432432
66,Jake MeyersR,140.48799394127857,301.036142617554,2.994280609949609,88.51351351351352
67,Jarren DuranL,103.79276269915474,357.3647169201667,0.9452186027861842,60.13513513513513
68,Jazz ChisholmL,90.43391954577069,317.4158628861846,21.516701754024176,43.91891891891892
69,Jeremy PenaR,83.56767662146639,335.66577238969165,15.432407190108961,33.78378378378378
70,Jesse WinkerL,74.32826789120277,307.9229803559126,-21.563433390097938,22.972972972972975
71,Jesus SanchezL,94.94767080260667,432.4655829234733,30.48478344860297,50.0
72,Joey OrtizR,119.80458874995938,514.3004077296681,21.649792878209364,77.02702702702703
73,Jonathan IndiaR,107.48031271583933,300.85387679966874,10.815144509533972,63.51351351351351
74,Jorge SolerR,89.08253675287497,279.07866902393084,0.8033810146170879,39.86486486486486
75,Jose AltuveR,89.73481543714878,305.0539273886598,6.599447722959894,41.21621621621622
76,Jose RamirezL,72.5054271515922,378.19104297252426,6.823172504362709,20.945945945945947
77,Jose RamirezR,52.423380640985044,375.81744774269055,37.1889803506639,4.054054054054054
78,Josh BellL,83.17291126837455,495.2421716958045,8.540396012135695,33.108108108108105
79,Josh BellR,164.3854222032255,459.5958804091029,23.6473872319648,97.2972972972973
80,Josh H. SmithL,165.77376170390193,301.66437668604715,5.120640584675698,97.97297297297297
81,Josh NaylorL,101.27507193442727,383.30867131221936,27.779886078605237,56.08108108108109
82,Juan SotoL,76.38009967737804,344.65682149216076,-5.942898186620077,27.7027027027027
83,Julio RodriguezR,90.67523718942286,416.02940243023846,10.718610226180047,44.5945945945946
84,Jurickson ProfarL,131.54181451659682,425.7002871986775,-0.5729289412029033,85.13513513513513
85,Jurickson ProfarR,108.83718112232222,399.2914118310621,7.733889556705769,66.21621621621621
86,Justin TurnerR,102.44355202852375,268.1986688523991,14.951903853203028,57.432432432432435
87,Ketel MarteL,79.39766629745806,438.38859231503716,-2.0026183041056917,31.756756756756754
88,Ketel MarteR,93.94495861270435,380.5851328679663,11.00570502123815,49.32432432432432
